Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
soot cleanup company,6,6,50,3,0.00,https://totalcarerestoration.com/top-5-soot-cleaning-services/,1,0.1,0.00,0.5,10,"[0,0,0,0,36,63,63,63,63,63,100,100]",2025-11-13,"Sitelinks, Video, Featured snippet, Ads bottom, People also ask, Related searches",commercial,Organic
miami fl water damage restoration,11,11,210,25,19.67,https://totalcarerestoration.com/water-damage-restoration/residential/miami/,1,0.1,19.00,0.18,6900000,"[81,29,29,36,29,36,29,36,23,15,29,9]",2025-12-25,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
soot removal services,21,21,1300,32,26.02,https://totalcarerestoration.com/top-5-soot-cleaning-services/,1,0.1,26.00,0.11,4370000,"[0,2,2,66,24,66,79,79,100,100,100,54]",2025-12-16,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches",commercial,Organic
building restoration in broward county fl,6,6,50,2,0.00,https://totalcarerestoration.com/broward-county-restoration-services/,1,0.1,0.00,0,2730000,"[0,3,7,11,100,34,15,15]",2025-12-02,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
flood restoration company weston,3,3,50,0,0.00,https://totalcarerestoration.com/weston-restoration-services/,1,0.1,0.00,0,388000,"[55,100,77,44]",2025-12-15,"Local pack, Sitelinks, Video",commercial,Organic
carolina restoration services reviews,2,2,90,22,10.08,https://totalcarerestoration.com/how-long-does-property-restoration-take/,1,0.1,10.00,0.27,15000000,"[78,78,14,64,100,64,50,50,78,64,64,78]",2025-11-30,"Knowledge panel, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,People also ask
water mitigation weston,3,3,40,5,0.00,https://totalcarerestoration.com/water-damage-restoration/residential/weston/,1,0.1,0.00,0,3980000,"[60,100,100,80,80]",2026-01-04,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
restoration process,1,1,90,18,6.26,https://totalcarerestoration.com/how-long-does-property-restoration-take/,1,0.1,6.00,0.06,261000000,"[15,9,15,34,28,28,34,28,21,43,43,28]",2025-12-08,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,People also ask
water restoration friendly,4,4,40,0,0.00,https://totalcarerestoration.com/top-7-eco-friendly-water-damage-restoration-methods/,1,0.1,0.00,0,66800000,"[60,100,80,60,80]",2026-01-04,"Local pack, Sitelinks, Video, Ads bottom, AI overview","commercial, informational",Organic
water damage cleanup in pembroke,3,3,40,4,0.00,https://totalcarerestoration.com/water-damage-restoration/residential/pembroke-pines/,1,0.1,0.00,0,205000,"[57,42,42,42,57,100,100,57,0]",2026-01-04,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
fire damage inspection services,14,14,590,20,0.00,https://totalcarerestoration.com/fire-damage-inspection-steps/,1,0.1,0.00,0,48700000,"[7,21,59,72,59,48,100,100,59]",2025-12-08,"Local pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
can mold grow on drywall,1,1,40,10,0.00,https://totalcarerestoration.com/tell-mold-behind-walls/,1,0.1,0.00,0.02,2060000,"[27,100,18,18,18,18,18,27,27,18,81,81]",2025-10-17,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
can mold grow on drywall,1,1,40,10,0.00,https://totalcarerestoration.com/tell-mold-behind-walls/,1,0.1,0.00,0.02,2060000,"[27,100,18,18,18,18,18,27,27,18,81,81]",2025-10-17,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
water damage friendly,9,9,50,,0.00,https://totalcarerestoration.com/top-7-eco-friendly-water-damage-restoration-methods/,1,0.1,0.00,0,227000000,"[42,100,42,57,100]",2025-12-26,"Sitelinks, Video, Ads bottom, AI overview",commercial,Organic
boca raton water damage restoration,9,9,110,21,46.00,https://totalcarerestoration.com/water-damage-restoration/residential/boca-raton/,1,0.1,46.00,0.11,1110000,"[19,42,42,26,26,19,19,34,80,53,19,100]",2026-01-01,"Local pack, Video, Related searches",commercial,Organic
mold remediation on wood,49,49,390,27,1.18,https://totalcarerestoration.com/effective-strategies-for-removing-mold-from-wood-a-comprehensive-guide/,0,0,0.00,0.94,3610000,"[16,7,13,13,5,2,2,100,10,16,7,16]",2025-12-02,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
mold inspection coral springs,23,23,50,0,0.00,https://totalcarerestoration.com/coral-springs-restoration-services/,0,0,0.00,0.41,249000,"[18,18,18,18,18,18,100,18,100,63,45,63]",2025-12-16,"Local pack, Video, Image, Related searches",commercial,Organic
tarping service,83,83,70,13,0.00,https://totalcarerestoration.com/roof-tarping-completely-explained/,0,0,0.00,0,18700000,"[0,7,0,7,7,78,78,100,100,100,100,50]",2025-12-18,"Knowledge panel, Video, People also ask, Related searches, AI overview",informational,Organic
shrink wrap roof,19,19,170,1,6.59,https://totalcarerestoration.com/benefits-shrink-wrapping-roof-blue-tarps/,0,0,0.00,0.8,3730000,"[39,14,11,14,11,14,14,21,17,14,14,11]",2025-12-08,"Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview",informational,Organic
plumbing vent systems,50,50,110,25,10.36,https://totalcarerestoration.com/exploring-advanced-venting-solutions-for-plumbing-drains-what-you-need-to-know/,0,0,0.00,0.09,25300000,"[1,3,3,5,0,4,1,0,0,100,3,2]",2025-12-17,"Image pack, Video, Video Carousel, People also ask, Popular products, Related searches",informational,Organic
24 hour emergency restoration,23,23,70,48,0.00,https://totalcarerestoration.com/emergency-restoration/,0,0,0.00,0.2,71400000,"[9,9,19,14,19,33,33,42,100,80,42,42]",2025-12-26,"Local pack, Sitelinks, Video, Ads bottom, Related searches",commercial,Organic
24 hour emergency restoration,90,90,70,48,0.00,https://totalcarerestoration.com/emergency-restoration/,0,0,0.00,0.2,71400000,"[9,9,19,14,19,33,33,42,100,80,42,42]",2025-12-26,"Local pack, Sitelinks, Video, Ads bottom, Related searches",commercial,Organic
ozone kill mold,39,0,110,7,1.34,https://totalcarerestoration.com/ozone-air-treatment-for-mold-and-pathogens/,0,0,0.00,0.46,1080000,"[21,28,34,12,9,28,53,43,43,34,53,21]",2026-01-05,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
ozone kill mold,72,0,110,7,1.34,https://totalcarerestoration.com/ozone-air-treatment-for-mold-and-pathogens/,0,0,0.00,0.46,1080000,"[21,28,34,12,9,28,53,43,43,34,53,21]",2026-01-05,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
fire damage miami,79,79,50,8,0.00,https://totalcarerestoration.com/fire-damage-restoration-a-step-by-step-guide,0,0,0.00,0.71,13600000,"[18,18,18,18,27,45,36,36,100,100,81,81]",2025-12-19,"Video, Video Carousel",commercial,Organic
smoke damaged clothing restoration,31,31,50,9,0.00,https://totalcarerestoration.com/7-steps-to-clean-smoke-damaged-items/,0,0,0.00,0,2350000,"[33,22,55,11,77,100,77,77]",2026-01-03,"Local pack, Image pack, Video, Related searches, Discussions and forums, AI overview",informational,Organic
mildew inside walls,97,97,30,16,2.95,https://totalcarerestoration.com/tell-mold-behind-walls/,0,0,0.00,0.3,4540000,"[0,0,0,0,0,0,0,100,0,0,0,0]",2025-12-24,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
dry out restorations,57,57,40,26,27.78,https://totalcarerestoration.com/water-damage-dry-out-process/,0,0,0.00,0.29,4790000,"[19,26,19,7,7,7,42,7,19,11,7,7]",2025-12-25,"Local pack, Sitelinks, Video, Ads bottom, Related searches",commercial,Organic
water removal houston,6,6,170,19,0.00,https://totalcarerestoration.com/how-long-does-property-restoration-take/,0,0,0.00,0.13,73500000,"[4,4,4,3,7,7,3,3,3,8,8,8]",2025-11-30,"Local pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",commercial,People also ask
tarp roofing,73,73,170,31,2.39,https://totalcarerestoration.com/roof-tarping-completely-explained/,0,0,0.00,0.97,2120000,"[28,1,23,15,15,15,15,100,15,28,44,44]",2025-12-12,"Local pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches","informational, transactional",Organic
sewage cleanup services in pembroke,16,16,40,5,0.00,https://totalcarerestoration.com/problems/toilet-overflow-cleanup/pembroke-pines/,0,0,0.00,0,73600,"[44,33,33,33,44,100,100,44,0]",2026-01-03,"Knowledge panel, AI overview",informational,Organic
sewage cleanup services in pembroke,33,33,40,5,0.00,https://totalcarerestoration.com/sewage-cleanup/commercial/pembroke-pines/,0,0,0.00,0,73600,"[44,33,33,33,44,100,100,44,0]",2026-01-03,"Knowledge panel, AI overview",informational,Organic
sewage cleanup services in pembroke,50,50,40,5,0.00,https://totalcarerestoration.com/sewage-cleanup/commercial/pembroke-pines/,0,0,0.00,0,73600,"[44,33,33,33,44,100,100,44,0]",2026-01-03,"Knowledge panel, AI overview",informational,Organic
sewage cleanup services in pembroke,86,86,40,5,0.00,https://totalcarerestoration.com/sewage-cleanup/residential/miami/,0,0,0.00,0,73600,"[44,33,33,33,44,100,100,44,0]",2026-01-03,"Knowledge panel, AI overview",informational,Organic
fire restoration clothing,80,80,40,2,0.00,https://totalcarerestoration.com/7-steps-to-clean-smoke-damaged-items/,0,0,0.00,0.41,10,"[64,64,64,11,11,11,11,11,11,11,11,11]",2025-11-08,"Local pack, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
dehumidifier for wet floor,9,9,110,3,1.10,https://totalcarerestoration.com/dehumidifiers-vs-air-movers-what-to-use-after-floods/,0,0,0.00,0.33,7510000,"[6,6,6,6,34,34,34,21,34,100,65,28]",2025-09-12,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
copper drain to pvc,1,1,110,23,0.25,https://totalcarerestoration.com/cast-iron-pipes/,0,0,0.00,0.46,15000000,"[100,52,66,52,42,52,33,52,33,80,42,52]",2025-11-27,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
remove mold from wood,38,38,1900,26,1.11,https://totalcarerestoration.com/effective-strategies-for-removing-mold-from-wood-a-comprehensive-guide/,0,0,0.00,0.97,43300000,"[100,80,52,44,52,36,20,52,36,52,24,27]",2025-12-30,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
mold growing on drywall,28,28,40,6,5.51,https://totalcarerestoration.com/tell-mold-behind-walls/,0,0,0.00,0.19,3650000,"[52,9,9,9,9,9,9,9,9,52,9,9]",2025-12-08,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
restoration local,52,52,260,29,22.28,https://totalcarerestoration.com/water-damage-restoration/residential/doral/,0,0,0.00,0.92,211000000,"[54,35,54,54,43,66,54,43,54,43,54,29]",2025-12-27,"Local pack, Sitelinks, Video, Ads bottom, Related searches, See results about",commercial,Organic
smoke damage cleaning products,16,16,210,10,4.56,https://totalcarerestoration.com/7-steps-to-clean-smoke-damaged-items/,0,0,0.00,0.72,44900000,"[22,18,18,35,35,35,29,66,54,66,66,54]",2025-12-20,"Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums, AI overview","informational, transactional",Organic
shrink wrap companies,2,2,90,48,4.38,https://totalcarerestoration.com/benefits-shrink-wrapping-roof-blue-tarps/,0,0,0.00,0.85,10,"[64,64,52,29,17,41,52,29,29,82,82,100]",2025-11-25,"Local pack, Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Popular products, Related searches",commercial,People also ask
flood damage claims mirmar fl,25,25,50,0,0.00,https://totalcarerestoration.com/problems/post-flood-mold-remediation/miramar/,0,0,0.00,0,508000,"[22,77,100,55,11]",2025-12-31,"Video, People also ask, Related searches",commercial,Organic
flood damage claims mirmar fl,49,49,50,0,0.00,https://totalcarerestoration.com/water-damage-restoration/residential/miramar/,0,0,0.00,0,508000,"[22,77,100,55,11]",2025-12-31,"Video, People also ask, Related searches",commercial,Organic
total water damage restoration,74,74,70,7,14.90,https://totalcarerestoration.com/water-damage-restoration/,0,0,0.00,0.07,36100000,"[9,33,9,42,9,100,9,9,9,52,52,52]",2026-01-03,"Local pack, Video, Ads bottom, Related searches",commercial,Organic
mold inspections weston,41,41,50,0,0.00,https://totalcarerestoration.com/mold-remediation/commercial/weston/,0,0,0.00,0,356000,"[42,71,71,100,71]",2026-01-02,"Local pack, Image, Related searches",commercial,Organic
mold inspections weston,95,95,50,0,0.00,https://totalcarerestoration.com/water-damage-restoration/residential/weston/,0,0,0.00,0,356000,"[42,71,71,100,71]",2026-01-02,"Local pack, Image, Related searches",commercial,Organic
cast iron sewer pipe life expectancy,5,5,110,1,0.00,https://totalcarerestoration.com/cast-iron-pipes/,0,0,0.00,0.06,148000,"[41,82,64,64,64,52,82,64,64,64,64,82]",2025-10-21,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
cast iron sewer pipe life expectancy,72,72,110,1,0.00,https://totalcarerestoration.com/cast-iron-pipes/,0,0,0.00,0.06,148000,"[41,82,64,64,64,52,82,64,64,64,64,82]",2025-10-21,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
grants to replace cast iron pipes,75,75,70,22,4.40,https://totalcarerestoration.com/cast-iron-pipes/,0,0,0.00,0.26,680000,"[52,64,64,64,52,41,29,29,29,23,41,41]",2025-10-19,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
cost of replacing cast iron pipes,45,45,40,2,9.28,https://totalcarerestoration.com/cast-iron-pipes/,0,0,0.00,0.59,7330000,"[57,42,28,57,42,28,57,28,100,100,57,71]",2026-01-01,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
roof leak mold remediation cost,71,71,70,21,9.99,https://totalcarerestoration.com/problems/roof-leak-mold-remediation/miami-beach/,0,0,0.00,0.46,683000,"[9,9,9,9,23,14,9,14,100,100,33,66]",2025-12-27,"Sitelinks, Video, Ads bottom, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
kill black mold on drywall,80,80,110,16,1.30,https://totalcarerestoration.com/tell-mold-behind-walls/,0,0,0.00,0.74,1010000,"[11,11,11,11,9,9,9,11,14,14,9,11]",2025-12-25,"Sitelinks, Video, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
negative air pressure home,76,76,140,5,0.00,https://totalcarerestoration.com/how-negative-pressure-prevents-mold-spread/,0,0,0.00,0,146000000,"[42,65,80,100,65,53,42,26,65,53,26,34]",2025-12-02,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Things to know, Discussions and forums, AI overview",informational,Organic
mold removal boca raton,26,26,260,13,31.67,https://totalcarerestoration.com/boca-raton-restoration-services/,0,0,0.00,0.45,320000,"[35,43,43,43,81,35,35,29,81,100,100,54]",2025-12-27,"Local pack, Video, Image, Ads bottom, People also ask, Related searches, Discussions and forums",commercial,Organic
home restoration pinecrest,98,98,260,12,0.00,https://totalcarerestoration.com/total-care-restoration-doral-fl/,0,0,0.00,0,2090000,"[54,100,0,0]",2025-12-07,"Knowledge panel, Video, Image, People also ask, Related searches, AI overview",commercial,Organic
water absorbing material for leaks,1,1,30,10,2.80,https://totalcarerestoration.com/water-damage-dry-out-process/,0,0,0.00,1,2230000,"[29,29,23,11,11,11,11,11,11,11,11,11]",2025-11-30,"Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,People also ask
water damage boca,28,28,50,9,33.80,https://totalcarerestoration.com/boca-raton-restoration-services/,0,0,0.00,0.22,7990000,"[9,9,27,27,45,36,81,81,63,36,81,100]",2025-12-16,"Local pack, Video, Ads bottom, Video Carousel, People also ask, Related searches","informational, transactional",Organic
miami february 2025,1,1,50,23,0.00,https://totalcarerestoration.com/the-2025-miami-flood-we-thought-about/,0,0,0.00,0,160000000,"[19,19,26,42,100,15,7,7,7,0,7,7]",2025-10-17,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
water damage restoration in florida,21,0,140,35,0.00,https://totalcarerestoration.com/water-damage-restoration/residential/coral-springs/,0,0,0.00,0,6750000,"[0,0,0,0,0,0,0,0,3,100,0,1]",2026-01-05,"Local pack, Sitelinks, Ads top, Ads bottom, People also ask, Related searches",commercial,Organic
local mold damage repair experts,52,52,720,37,0.00,https://totalcarerestoration.com/parkland-restoration-services/,0,0,0.00,0,9370000,"[13,16,36,45,81,45,62,100,45]",2025-12-18,"Local pack, Video, Ads top, Ads bottom, Related searches",commercial,Organic
mold on a wall,89,89,70,24,2.61,https://totalcarerestoration.com/tell-mold-behind-walls/,0,0,0.00,1,108000000,"[2,7,3,4,0,2,0,1,1,4,0,0]",2025-12-07,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
air conditioning repair aventura fl,55,55,70,3,23.05,https://totalcarerestoration.com/problems/ac-leak-water-damage/aventura/,0,0,0.00,0.33,1250000,"[29,29,41,29,23,41,52,52,41,29,82,29]",2026-01-02,"Local pack, Video, Image, Related searches",commercial,Organic
roof tarps,65,65,1000,29,2.39,https://totalcarerestoration.com/services/roof-tarping/,0,0,0.00,0.97,5010000,"[43,24,19,13,8,15,10,15,13,15,13,13]",2025-12-14,"Local pack, Image pack, Sitelinks, Video, Image, Ads bottom, Popular products, Related searches","informational, transactional",Organic
mold removal north beach,71,71,40,,0.00,https://totalcarerestoration.com/mold-remediation/commercial/miami-beach/,0,0,0.00,0,4140000,"[42,100,71,28,28]",2025-12-25,"Local pack, Video, People also ask, Related searches",commercial,Organic
commercial roof repair hillsboro beach,50,50,70,5,0.00,https://totalcarerestoration.com/roof-tarping/commercial/deerfield-beach/,0,0,0.00,0,685000,"[44,55,100,100]",2025-12-21,"Local pack, Video, Image",commercial,Organic
temporary roof repair tarp,73,73,30,10,2.89,https://totalcarerestoration.com/roof-tarping/,0,0,0.00,0.89,745000,"[35,21,21,14,35,21,14,14,14,28,21,35]",2025-12-31,"Image pack, Sitelinks, Video, Ads bottom, Video Carousel, Related searches, Discussions and forums, AI overview","informational, transactional",Organic
what type of air purifier is best for mold,2,2,40,24,2.00,https://totalcarerestoration.com/ozone-air-treatment-for-mold-and-pathogens/,0,0,0.00,1,6460000,"[100,100,18,18,18,18,18,18,18,18,18,18]",2025-10-31,"Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",commercial,People also ask
do cast iron pipes need to be replaced,24,24,30,0,6.13,https://totalcarerestoration.com/cast-iron-pipes/,0,0,0.00,0.15,5860000,"[42,28,28,28,28,42,28,57,71,100,42,42]",2026-01-04,"Sitelinks, Video, Video Carousel, Related searches, AI overview","informational, transactional",Organic
drain flies and worms,1,1,90,12,0.00,https://totalcarerestoration.com/ultimate-guide-to-preventing-and-removing-mold-in-your-bathroom/,0,0,0.00,0.01,10,"[11,18,11,15,11,11,0,15,35,28,28,18]",2025-11-22,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
phoenix storm damage restoration,7,7,90,6,0.00,https://totalcarerestoration.com/how-long-does-property-restoration-take/,0,0,0.00,0,1610000,"[100,63,63]",2025-11-25,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview","commercial, informational",People also ask
water damage repair in miami,1,1,390,25,0.00,https://totalcarerestoration.com/how-long-does-property-restoration-take/,0,0,0.00,0.03,8420000,"[13,2,2,2,100,68,7,2,2,2,3,3]",2025-11-30,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,People also ask
roof wrap for house,62,62,70,15,3.57,https://totalcarerestoration.com/benefits-shrink-wrapping-roof-blue-tarps/,0,0,0.00,1,53200000,"[9,27,45,63,63,63,100,63,45,45,100,36]",2026-01-01,"Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, Related searches, Discussions and forums",commercial,Organic
do home inspections check for mold,1,1,70,1,6.84,https://totalcarerestoration.com/tell-mold-behind-walls/,0,0,0.00,0.28,5990000,"[5,29,41,17,41,64,64,52,41,29,100,29]",2025-12-03,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
soot removal services alexandria,84,84,50,2,0.00,https://totalcarerestoration.com/top-5-soot-cleaning-services/,0,0,0.00,0,75000,"[0,71,71,100,100,100,100,57]",2025-12-09,"Local pack, Video, Related searches",commercial,Organic
black mold on wall,78,78,1300,27,6.65,https://totalcarerestoration.com/tell-mold-behind-walls/,0,0,0.00,0.17,82300000,"[34,44,44,65,24,34,44,44,44,34,44,34]",2025-11-28,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches, Things to know, AI overview",informational,Organic
mold removal west palm,38,38,90,14,24.19,https://totalcarerestoration.com/west-palm-beach-restoration-services/,0,0,0.00,0.82,4280000,"[9,9,12,15,6,12,19,15,5,9,15,19]",2025-12-25,"Local pack, Video, Image, Related searches",commercial,Organic
black mould on walls,2,2,260,55,7.10,https://totalcarerestoration.com/tell-mold-behind-walls/,0,0,0.00,0.16,54300000,"[35,23,44,18,54,44,28,28,44,5,66,100]",2025-10-11,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches, Things to know, Discussions and forums, Ads middle, AI overview",informational,Things to know
how does mold look on walls,32,32,50,13,0.00,https://totalcarerestoration.com/tell-mold-behind-walls/,0,0,0.00,0.05,10,"[52,52,52,9,9,19,19,19,9,9,9,9]",2025-11-09,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
tree company deerfield,82,82,40,4,0.00,https://totalcarerestoration.com/problems/tree-damage-restoration/deerfield-beach/,0,0,0.00,0,6360000,"[0,28,28,100,100,42,71,100,42]",2025-12-24,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
care restoration,17,17,110,15,6.89,https://totalcarerestoration.com/,0,0,0.00,0.3,242000000,"[18,15,11,18,18,11,15,15,15,15,35,28]",2025-12-18,"Knowledge panel, Sitelinks, Video, Related searches",informational,Organic
care restoration,33,33,110,15,6.89,https://totalcarerestoration.com/broward-county-restoration-services/,0,0,0.00,0.3,242000000,"[18,15,11,18,18,11,15,15,15,15,35,28]",2025-12-18,"Knowledge panel, Sitelinks, Video, Related searches",informational,Organic
how to tell if there's mold,91,91,30,23,0.86,https://totalcarerestoration.com/tell-mold-behind-walls/,0,0,0.00,0.42,349000000,"[15,2,2,2,2,0,2,2,2,2,2,2]",2025-12-14,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
quick response to water damage in cumming,70,70,50,0,0.00,https://totalcarerestoration.com/emergency-water-damage-checklist-first-24-hours/,0,0,0.00,0,10,"[22,33,100,77,55,77,77,100]",2025-11-25,"Video, Ads bottom, People also ask, AI overview",informational,Organic
hvac cleaning for smoke damage,94,94,70,16,0.00,https://totalcarerestoration.com/7-steps-to-clean-smoke-damaged-items/,0,0,0.00,0,4890000,"[55,100,77,77,77,77,77,77,55,33]",2025-12-29,"Local pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
replacing cast iron plumbing cost,25,25,40,3,17.98,https://totalcarerestoration.com/cast-iron-pipes/,0,0,0.00,0.7,2870000,"[18,18,100,63,100,36,18,18,18,18,18,18]",2025-12-26,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
free estimate for water damage restoration,62,62,140,24,26.34,https://totalcarerestoration.com/water-damage-restoration-cost-broward-county/,0,0,0.00,0.27,11200000,"[100,65,65,19,53,34,34,42,100,100,53,42]",2025-12-25,"Local pack, Video, People also ask, Related searches, Discussions and forums",commercial,Organic
can mold grow after leak is fixed,94,94,30,12,4.97,https://totalcarerestoration.com/tell-mold-behind-walls/,0,0,0.00,0.09,0,"[29,41,17,23,11,11,23,11,23,11,11,29]",2025-11-09,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
cast iron plumbing repair,18,18,260,9,11.30,https://totalcarerestoration.com/cast-iron-pipes/,0,0,0.00,0.5,11900000,"[53,82,53,23,100,66,66,43,28,28,100,100]",2025-10-07,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
mold in drywall mud,1,1,50,12,0.00,https://totalcarerestoration.com/tell-mold-behind-walls/,0,0,0.00,0.04,1800000,"[44,55,44,100,55,77,55,100,55,55,55,44]",2025-11-29,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,People also ask
mold in drywall mud,50,50,50,12,0.00,https://totalcarerestoration.com/tell-mold-behind-walls/,0,0,0.00,0.04,1800000,"[44,55,44,100,55,77,55,100,55,55,55,44]",2025-11-29,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
mold removal ft lauderdale,98,98,50,0,21.12,https://totalcarerestoration.com/fort-lauderdale-restoration-service/,0,0,0.00,0.42,10,"[28,28,35,50,64,7,14,7,14,28,100,100]",2025-11-07,"Local pack, Sitelinks, Image, Ads bottom, People also ask, Related searches",commercial,Organic
storm damage experts,47,47,40,10,11.82,https://totalcarerestoration.com/storm-damage-restoration/residential/fort-lauderdale/,0,0,0.00,0.61,51500000,"[18,18,18,36,45,18,18,18,81,81,45,45]",2025-12-24,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
mold on drywall,1,1,1600,25,6.22,https://totalcarerestoration.com/tell-mold-behind-walls/,0,0,0.00,0.27,14700000,"[41,54,79,36,66,36,66,54,54,79,100,66]",2025-11-29,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
mold on drywall,45,45,1600,25,6.22,https://totalcarerestoration.com/tell-mold-behind-walls/,0,0,0.00,0.27,14700000,"[41,54,79,36,66,36,66,54,54,79,100,66]",2025-11-29,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
signs of mold behind drywall,13,13,590,22,2.21,https://totalcarerestoration.com/tell-mold-behind-walls/,0,0,0.00,0.1,2940000,"[30,36,36,30,24,24,36,30,36,67,100,36]",2025-10-12,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
fire damage restoration guidelines,20,20,590,12,0.00,https://totalcarerestoration.com/fire-damage-restoration-guide/,0,0,0.00,0,22800000,"[30,45,36,45,45,45,67,45,45,30,76,100]",2025-10-09,"Sitelinks, Video, Ads bottom, Related searches, Ads middle, AI overview",informational,Organic
mold remediation south miami,18,18,40,28,19.11,https://totalcarerestoration.com/mold-remediation/,0,0,0.00,0.28,228000,"[100,41,11,5,11,11,11,5,41,41,11,0]",2025-12-26,"Local pack, Video, Related searches",commercial,Organic
how does mold grow in walls,37,37,70,38,0.72,https://totalcarerestoration.com/tell-mold-behind-walls/,0,0,0.00,0.09,17400000,"[78,50,64,64,50,21,50,50,50,35,50,50]",2025-11-27,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
how does mold grow in walls,40,40,70,38,0.72,https://totalcarerestoration.com/tell-mold-behind-walls/,0,0,0.00,0.09,17400000,"[78,50,64,64,50,21,50,50,50,35,50,50]",2025-11-27,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
restoration companies vancouver,2,2,50,35,27.77,https://totalcarerestoration.com/how-long-does-property-restoration-take/,0,0,0.00,0.3,14300000,"[22,22,22,55,77,77,100,100,22,44,33,44]",2025-11-30,"Local pack, Sitelinks, Ads bottom, People also ask, Related searches",commercial,People also ask
